"","state","sex","age","educ","race","pid7","ideo5","religion","votechoice","hispanic","know_governor","conceal","prochoice","cleanair","wall","mandmin","aca","minwage","newsint"
"3224","Missouri","Male",34,"4-year","White","Lean Republican","Conservative","Protestant","Donald J. Trump (Republican)","No","Republican","Support","Oppose","Oppose","Support","Support","Support","Oppose","Most of the time"
"3225","Pennsylvania","Male",60,"2-year","Asian","Not very strong Republican","Conservative","Nothing in particular","Donald J. Trump (Republican)","No","Democrat","Support","Support","Oppose","Oppose","Oppose","Support","Oppose","Most of the time"
"3226","Missouri","Female",48,"No HS","White","Strong Republican","Conservative","Protestant","Donald J. Trump (Republican)","No","Republican","Oppose","Oppose","Support","Oppose","Oppose","Support","Oppose","Only now and then"
"3227","Montana","Male",55,"Some college","Other race","Not sure","Not sure","Nothing in particular","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Oppose","Oppose","Oppose","Some of the time"
"3228","Texas","Male",59,"Some college","White","Lean Republican","Conservative","Protestant","Donald J. Trump (Republican)","No","Republican","Support","Oppose","Oppose","Support","Support","Support","Oppose","Most of the time"
"3229","Missouri","Female",27,"4-year","White","Strong Republican","Very conservative","Protestant","Donald J. Trump (Republican)","No","Republican","Support","Oppose","Oppose","Support","Oppose","Support","Oppose","Most of the time"
"3230","Indiana","Male",56,"4-year","Hispanic","Strong Democrat","Liberal","Nothing in particular","Joe Biden (Democrat)",NA,"Republican","Oppose","Support","Support","Oppose","Support","Oppose","Oppose","Most of the time"
"3231","Iowa","Male",72,"High school graduate","White","Strong Republican","Conservative","Atheist","Donald J. Trump (Republican)","No","Republican","Support","Support","Support","Support","Oppose","Support","Oppose","Most of the time"
"3232","Indiana","Female",68,"High school graduate","White","Strong Republican","Conservative","Roman Catholic","Donald J. Trump (Republican)","No","Not sure","Oppose","Oppose","Oppose","Support","Support","Support","Favor","Most of the time"
"3233","North Carolina","Male",37,"4-year","White","Independent","Not sure","Something else","Other","No","Not sure","Support","Support","Oppose","Oppose","Support","Support","Oppose","Most of the time"
"3234","Indiana","Male",74,"High school graduate","White","Independent","Very conservative","Protestant","Donald J. Trump (Republican)","No","Republican","Oppose","Oppose","Oppose","Support","Oppose","Support","Oppose","Most of the time"
"3235","Virginia","Female",38,"Post-grad","White","Strong Democrat","Very liberal","Roman Catholic","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3236","West Virginia","Female",70,"No HS","White","Strong Republican","Very conservative","Protestant",NA,"No","Republican","Support","Support","Oppose","Support","Oppose","Support","Favor","Hardly at all"
"3237","California","Female",56,"High school graduate","White","Not very strong Republican","Moderate","Nothing in particular",NA,"No","Democrat","Oppose","Support","Oppose","Oppose","Oppose","Oppose","Favor","Only now and then"
"3238","Oregon","Male",81,"High school graduate","White","Independent","Moderate","Protestant","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Oppose","Oppose","Favor","Most of the time"
"3239","Nevada","Female",31,"4-year","Hispanic","Lean Democrat","Very liberal","Protestant","Joe Biden (Democrat)","Yes","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3240","Florida","Male",70,"High school graduate","White","Strong Republican","Conservative","Protestant","Donald J. Trump (Republican)","No","Not sure","Support","Oppose","Support","Support","Support","Oppose","Favor","Most of the time"
"3241","Nebraska","Female",89,"High school graduate","White","Strong Republican","Conservative","Protestant","Donald J. Trump (Republican)","No","Republican","Support","Oppose","Oppose","Support","Oppose","Support","Oppose","Some of the time"
"3242","Illinois","Male",25,"Some college","White","Independent","Conservative","Muslim","Joe Biden (Democrat)","No","Democrat","Support","Oppose","Oppose","Oppose","Support","Oppose","Favor","Most of the time"
"3243","New Jersey","Female",33,"Post-grad","White","Lean Democrat","Very liberal","Agnostic","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Support","Favor","Most of the time"
"3244","Illinois","Female",34,"Post-grad","Black","Independent","Moderate","Nothing in particular","Other","No","Democrat","Oppose","Oppose","Support","Oppose","Support","Support","Favor","Only now and then"
"3245","Arizona","Female",49,"High school graduate","White","Strong Democrat","Liberal","Nothing in particular","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3246","West Virginia","Male",86,"High school graduate","White","Strong Republican","Very conservative","Protestant","Donald J. Trump (Republican)","No","Republican","Support","Oppose","Oppose","Support","Oppose","Support","Oppose","Most of the time"
"3247","Utah","Female",72,"4-year","Hispanic","Not very strong Democrat","Moderate","Mormon","Joe Biden (Democrat)",NA,"Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3248","Arizona","Male",70,"High school graduate","White","Strong Republican","Conservative","Protestant","Donald J. Trump (Republican)","No","Republican","Support","Oppose","Oppose","Support","Oppose","Support","Oppose","Most of the time"
"3249","Florida","Female",74,"High school graduate","White","Lean Republican","Conservative","Protestant","Donald J. Trump (Republican)","No","Republican","Oppose","Support","Oppose","Support","Support","Support","Oppose","Most of the time"
"3250","Alabama","Female",43,"No HS","White","Independent","Moderate","Nothing in particular",NA,"No","Not sure","Oppose","Oppose","Oppose","Oppose","Oppose","Support","Favor","Only now and then"
"3251","Florida","Female",43,"High school graduate","White","Not very strong Democrat","Not sure","Nothing in particular","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Support","Support","Oppose","Favor","Only now and then"
"3252","California","Female",36,"Post-grad","Hispanic","Strong Democrat","Liberal","Nothing in particular","Joe Biden (Democrat)",NA,"Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Some of the time"
"3253","Tennessee","Male",40,"Post-grad","White","Lean Democrat","Moderate","Protestant","Joe Biden (Democrat)","No","Republican","Oppose","Oppose","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3254","Texas","Female",56,"Post-grad","Black","Strong Democrat","Very liberal","Protestant","Joe Biden (Democrat)","No","Republican","Oppose","Oppose","Support",NA,"Support","Oppose","Favor","Some of the time"
"3255","Minnesota","Male",26,"4-year","White","Strong Democrat","Very liberal","Agnostic","Joe Biden (Democrat)","No","Democrat","Support","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3256","Missouri","Male",64,"Some college","White","Strong Republican","Conservative","Nothing in particular","Donald J. Trump (Republican)","No","Republican","Oppose","Oppose","Oppose","Support","Support","Oppose","Oppose","Some of the time"
"3257","New Hampshire","Female",66,"High school graduate","White","Strong Democrat","Moderate","Roman Catholic","Joe Biden (Democrat)","No","Republican","Oppose","Oppose","Support","Oppose","Oppose","Oppose","Favor","Most of the time"
"3258","North Dakota","Male",39,"4-year","White","Lean Republican","Conservative","Roman Catholic","Other","No","Republican","Support","Oppose","Oppose","Support","Support","Support","Oppose","Most of the time"
"3259","District of Columbia","Female",31,"4-year","White","Strong Democrat","Very liberal","Nothing in particular",NA,"No",NA,"Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3260","New York","Female",33,"4-year","White","Not very strong Democrat","Liberal","Mormon","Joe Biden (Democrat)","No","Democrat","Oppose","Oppose","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3261","Massachusetts","Male",40,"Post-grad","White","Strong Democrat","Liberal","Atheist","Joe Biden (Democrat)","No","Republican","Oppose","Oppose","Support","Oppose","Oppose","Oppose","Favor","Most of the time"
"3262","Texas","Female",39,"4-year",NA,"Independent","Moderate","Nothing in particular","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Oppose","Most of the time"
"3263","Illinois","Female",35,"4-year","White","Not very strong Democrat","Liberal","Roman Catholic","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Support","Favor","Only now and then"
"3264","Maine","Male",80,"High school graduate","White","Strong Republican","Very conservative","Roman Catholic","Donald J. Trump (Republican)","No","Democrat","Support","Support","Oppose","Support","Oppose","Oppose","Oppose","Most of the time"
"3265","Illinois","Female",28,"4-year","Black","Lean Democrat","Liberal","Agnostic","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3266","Ohio","Female",49,"Some college","Black","Strong Democrat","Very liberal","Agnostic","Joe Biden (Democrat)","No","Republican","Support","Support","Support","Oppose","Support","Oppose","Favor","Some of the time"
"3267","Massachusetts","Male",84,"High school graduate","White","Strong Democrat","Liberal","Roman Catholic","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support",NA,"Favor","Most of the time"
"3268","Tennessee","Female",60,"High school graduate","White","Strong Democrat","Liberal","Something else","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3269","Arkansas","Female",32,"Some college","White","Not very strong Republican","Moderate","Protestant","Donald J. Trump (Republican)","No","Not sure","Oppose","Oppose","Support","Support","Oppose","Support","Oppose","Only now and then"
"3270","Ohio","Female",60,"High school graduate","Native American","Strong Democrat","Very conservative","Protestant","Joe Biden (Democrat)","No","Democrat","Support","Support","Support","Support","Support","Support","Favor","Only now and then"
"3271","Minnesota","Female",70,"High school graduate","White","Strong Republican","Conservative","Roman Catholic","Donald J. Trump (Republican)","No","Democrat","Support","Support","Oppose","Support","Oppose","Support","Favor","Only now and then"
"3272","Indiana","Female",30,"No HS","White","Independent","Not sure","Nothing in particular",NA,"No","Not sure","Oppose","Oppose","Support","Oppose","Support","Oppose","Favor","Don't know"
"3273","Missouri","Female",68,"High school graduate","White","Strong Democrat","Very liberal","Jewish","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3274","New York","Female",37,"Post-grad","White","Strong Democrat","Very liberal","Something else","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Some of the time"
"3275","Alaska","Female",68,"No HS","White","Strong Republican","Very conservative","Protestant","Donald J. Trump (Republican)","No","Republican","Support","Oppose","Oppose","Support","Oppose","Support","Oppose","Some of the time"
"3276","North Carolina","Female",31,"4-year","White","Strong Democrat","Very liberal","Agnostic","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3277","Georgia","Female",34,"2-year","White","Strong Republican","Very conservative","Nothing in particular",NA,"No","Republican","Support","Oppose","Oppose","Support","Support","Support","Oppose","Don't know"
"3278","Pennsylvania","Female",35,"Post-grad","Middle Eastern","Independent","Liberal","Roman Catholic","Donald J. Trump (Republican)","No","Democrat","Support","Support","Support","Oppose","Support","Support","Oppose","Some of the time"
"3279","Pennsylvania","Female",30,"High school graduate","White","Independent","Not sure","Nothing in particular",NA,"No","Not sure","Oppose","Support","Support","Oppose","Oppose","Oppose","Favor","Don't know"
"3280","Massachusetts","Female",62,"High school graduate","White","Lean Republican","Moderate","Protestant","Donald J. Trump (Republican)","No","Republican","Oppose","Support","Support","Oppose","Support","Support","Favor","Only now and then"
"3281","Virginia","Female",65,"4-year","Black","Strong Democrat","Liberal","Roman Catholic","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3282","Kentucky","Female",69,"High school graduate","White","Strong Republican","Conservative","Protestant","Donald J. Trump (Republican)","No","Democrat","Support","Oppose","Oppose","Support","Support","Support","Oppose","Most of the time"
"3283","Florida","Male",69,"High school graduate","White","Lean Republican","Moderate","Agnostic",NA,"No","Republican","Support","Support","Support","Support","Oppose","Support","Oppose","Hardly at all"
"3284","South Carolina","Female",63,"Some college","Black","Strong Democrat","Not sure","Protestant","Joe Biden (Democrat)","No","Not sure","Support","Support","Support","Support","Oppose","Oppose","Favor","Hardly at all"
"3285","Oregon","Male",81,"High school graduate","Other race","Strong Republican","Conservative","Protestant","Donald J. Trump (Republican)","No","Democrat","Support","Support","Oppose","Support","Oppose","Support","Oppose","Some of the time"
"3286","Louisiana","Male",37,"4-year","White","Not very strong Democrat","Liberal","Roman Catholic","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3287","Texas","Female",41,"High school graduate","White","Strong Republican","Conservative","Nothing in particular",NA,"No","Not sure","Oppose","Support","Oppose","Support","Support","Oppose","Favor","Only now and then"
"3288","North Carolina","Female",35,"Post-grad","White","Lean Democrat","Moderate","Protestant","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3289","Rhode Island","Female",57,"Post-grad","Hispanic","Strong Republican","Conservative","Protestant","Donald J. Trump (Republican)",NA,"Not sure","Oppose","Oppose","Support","Oppose","Support","Support","Favor","Some of the time"
"3290","Michigan","Female",63,"High school graduate","White","Strong Democrat","Conservative","Roman Catholic","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Oppose","Support","Oppose","Some of the time"
"3291","North Carolina","Female",59,"High school graduate","White","Lean Republican","Conservative","Nothing in particular","Donald J. Trump (Republican)","No","Democrat","Support","Oppose","Oppose","Support","Support","Support","Oppose","Most of the time"
"3292","Massachusetts","Female",86,"No HS","Asian","Independent","Moderate","Agnostic",NA,"No","Republican","Oppose","Support","Support","Oppose","Oppose","Oppose","Oppose","Some of the time"
"3293","North Carolina","Female",52,"High school graduate","White","Strong Democrat","Very liberal","Protestant","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3294","New York","Female",63,"High school graduate","White","Not sure","Not sure","Nothing in particular","Joe Biden (Democrat)","No","Not sure","Oppose","Support","Oppose","Support","Oppose","Oppose","Favor","Don't know"
"3295","Kentucky","Female",69,"High school graduate","White","Strong Republican","Very conservative","Protestant","Donald J. Trump (Republican)","No","Democrat","Oppose","Oppose","Oppose","Support","Support","Support","Oppose","Most of the time"
"3296","Illinois","Female",41,"High school graduate","White","Not sure","Not sure","Something else",NA,"No","Democrat","Oppose","Support","Support","Oppose","Support","Support","Favor","Some of the time"
"3297","Colorado","Male",35,"4-year","White","Lean Democrat","Liberal","Nothing in particular","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3298","Maryland","Female",54,"Some college","Black","Strong Democrat","Moderate","Something else","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Oppose","Support","Support","Oppose","Favor","Only now and then"
"3299","Virginia","Male",68,"High school graduate","White","Not very strong Republican","Conservative","Protestant","Donald J. Trump (Republican)","No","Democrat","Support","Support","Oppose","Support","Oppose","Support","Oppose","Some of the time"
"3300","Washington","Male",53,"Some college","Native American","Lean Republican","Very conservative","Roman Catholic","Donald J. Trump (Republican)","No","Democrat","Oppose","Oppose","Oppose","Support","Support","Support","Oppose","Most of the time"
"3301","Illinois","Female",59,"Post-grad","Black","Lean Democrat","Moderate","Roman Catholic","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Oppose","Oppose","Support","Oppose","Favor","Most of the time"
"3302","Oregon","Female",38,"4-year","White","Strong Democrat","Very liberal","Atheist","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3303","Arizona","Male",73,"High school graduate","White","Not very strong Democrat","Moderate","Nothing in particular","Joe Biden (Democrat)","No","Republican","Support","Support","Support","Support","Support","Oppose","Oppose","Hardly at all"
"3304","South Carolina","Female",48,"Post-grad","Black","Strong Democrat","Very liberal","Protestant","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3305","New York","Female",35,"4-year","Other race","Independent","Moderate","Nothing in particular","Joe Biden (Democrat)","No","Democrat","Oppose","Oppose","Support","Oppose","Oppose","Oppose","Favor","Most of the time"
"3306","Pennsylvania","Female",69,"High school graduate","White","Strong Republican","Very conservative","Protestant","Donald J. Trump (Republican)","No","Democrat","Oppose","Oppose","Oppose","Support","Oppose","Support","Oppose","Most of the time"
"3307","California","Female",80,"High school graduate","White","Strong Democrat","Moderate","Nothing in particular","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3308","Arizona","Female",67,"High school graduate","White","Strong Republican","Very conservative","Nothing in particular","Donald J. Trump (Republican)","No","Republican","Oppose","Support","Support","Support","Support","Support","Favor","Some of the time"
"3309","California","Male",35,"Some college","Asian","Not sure","Moderate","Roman Catholic",NA,"No","Not sure","Support","Support","Support","Oppose","Support","Support","Favor","Only now and then"
"3310","Pennsylvania","Female",51,"High school graduate","White","Not very strong Republican","Conservative","Protestant",NA,"No","Not sure","Oppose","Oppose","Oppose","Support","Oppose","Oppose","Favor","Hardly at all"
"3311","Iowa","Female",30,"Post-grad","Hispanic","Strong Democrat","Very liberal","Atheist",NA,NA,"Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3312","California","Female",70,"High school graduate","White","Strong Republican","Very conservative","Protestant","Donald J. Trump (Republican)","No","Democrat","Oppose","Support","Support","Support","Oppose","Oppose","Favor","Most of the time"
"3313","West Virginia","Female",63,"High school graduate","White","Strong Democrat","Moderate","Nothing in particular","Joe Biden (Democrat)","No","Democrat","Oppose","Oppose","Oppose","Oppose","Support","Support","Favor","Some of the time"
"3314","Florida","Female",83,"High school graduate","White","Strong Republican","Conservative","Protestant","Donald J. Trump (Republican)","No","Republican","Oppose","Support","Oppose","Oppose","Oppose","Oppose","Oppose","Only now and then"
"3315","Washington","Female",52,"High school graduate","White","Not very strong Democrat","Liberal","Roman Catholic","Joe Biden (Democrat)","No","Democrat","Support","Support","Support","Oppose","Oppose","Oppose","Favor","Some of the time"
"3316","Ohio","Female",41,"Post-grad","White","Strong Democrat","Very liberal","Nothing in particular","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3317","Texas","Female",69,"High school graduate","White","Strong Republican","Conservative","Protestant","Donald J. Trump (Republican)","No","Republican","Oppose","Support","Support","Support","Oppose","Support","Favor","Some of the time"
"3318","Nebraska","Female",65,"High school graduate","White","Not very strong Democrat","Conservative","Protestant","Joe Biden (Democrat)","No","Republican","Support","Support","Support","Support","Oppose","Oppose","Favor","Some of the time"
"3319","District of Columbia","Female",28,"Post-grad","White","Lean Democrat","Liberal","Agnostic","Joe Biden (Democrat)","No",NA,"Oppose","Support","Support","Oppose","Support","Oppose","Favor","Some of the time"
"3320","Massachusetts","Female",65,"High school graduate","White","Lean Republican","Moderate","Roman Catholic",NA,"No","Republican","Support","Support","Support","Support","Oppose","Oppose","Favor","Hardly at all"
"3321","Pennsylvania","Male",35,"Post-grad","Hispanic","Independent","Liberal","Atheist","Donald J. Trump (Republican)",NA,"Democrat","Support","Support","Oppose","Support","Support","Support","Oppose","Most of the time"
"3322","Virginia","Female",42,"4-year","White","Independent","Moderate","Protestant","Other","No","Not sure","Oppose","Oppose","Oppose","Support","Support","Oppose","Oppose","Don't know"
"3323","Kentucky","Female",75,"High school graduate","White","Strong Republican","Very conservative","Protestant","Donald J. Trump (Republican)","No","Democrat","Support","Oppose","Oppose","Support","Oppose","Support","Oppose","Most of the time"
"3324","Pennsylvania","Female",78,"High school graduate","White","Strong Republican","Very conservative","Roman Catholic","Donald J. Trump (Republican)","No","Democrat","Support","Support","Oppose","Support","Oppose","Support","Oppose","Most of the time"
"3325","Rhode Island","Female",38,"Some college","White","Lean Republican","Moderate","Protestant","Donald J. Trump (Republican)","No","Democrat","Support","Support","Oppose","Oppose","Support","Oppose","Oppose","Most of the time"
"3326","New York","Female",52,"Some college","Hispanic","Lean Democrat","Moderate","Roman Catholic","Joe Biden (Democrat)",NA,"Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3327","Georgia","Male",32,"4-year","White","Lean Democrat","Liberal","Roman Catholic",NA,"No","Other Party / Independent","Support","Support","Support","Support","Support","Support","Favor","Hardly at all"
"3328","California","Female",47,"4-year","Hispanic","Independent","Conservative","Something else","Joe Biden (Democrat)",NA,"Democrat","Support","Support","Oppose","Oppose","Support","Oppose","Favor","Only now and then"
"3329","Virginia","Female",35,"Post-grad","White","Not very strong Republican","Moderate","Protestant","Donald J. Trump (Republican)","No","Not sure","Oppose","Oppose","Support","Oppose","Support","Oppose","Oppose","Most of the time"
"3330","Massachusetts","Female",52,"High school graduate","White","Strong Democrat","Very liberal","Nothing in particular","Joe Biden (Democrat)","No","Republican","Oppose","Oppose","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3331","Pennsylvania","Female",61,"High school graduate","White","Strong Republican","Very conservative","Roman Catholic","Donald J. Trump (Republican)","No","Democrat","Support","Oppose","Oppose","Support","Oppose","Support","Favor","Some of the time"
"3332","Rhode Island","Female",69,"High school graduate","White","Independent","Not sure","Roman Catholic",NA,"No","Democrat","Oppose","Oppose","Support","Support","Oppose","Support","Favor","Hardly at all"
"3333","Illinois","Female",69,"High school graduate","White","Not sure","Not sure","Jewish",NA,"No","Not sure","Oppose","Support","Oppose","Oppose","Oppose","Oppose","Favor","Only now and then"
"3334","Iowa","Male",73,"High school graduate","White","Lean Republican","Conservative","Nothing in particular","Donald J. Trump (Republican)","No","Republican","Oppose","Oppose","Support","Support","Support","Support","Favor","Most of the time"
"3335","California","Male",82,"High school graduate","White","Lean Democrat","Moderate","Jewish","Donald J. Trump (Republican)","No","Democrat","Support","Support","Support","Support","Support","Support","Favor","Most of the time"
"3336","Pennsylvania","Male",69,"Some college","Black","Lean Democrat","Moderate","Nothing in particular",NA,"No","Not sure","Oppose","Support","Oppose","Oppose","Oppose","Support","Favor","Only now and then"
"3337","Illinois","Female",35,"Some college","White","Independent","Not sure","Nothing in particular",NA,"No","Not sure","Support","Oppose","Support","Support","Support","Oppose","Favor","Hardly at all"
"3338","Illinois","Female",59,"4-year","Black","Strong Democrat","Moderate","Protestant","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Some of the time"
"3339","Ohio","Female",91,"High school graduate","White","Strong Democrat","Moderate","Roman Catholic","Joe Biden (Democrat)","No","Republican","Oppose","Support","Oppose","Oppose","Support","Oppose","Favor","Most of the time"
"3340","North Carolina","Male",68,"High school graduate","White","Strong Democrat","Moderate","Roman Catholic","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Support","Support","Oppose","Favor","Most of the time"
"3341","California","Male",57,"4-year","Black","Independent","Moderate","Jewish","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Oppose","Oppose","Support","Oppose","Favor","Most of the time"
"3342","California","Male",66,"High school graduate","Hispanic","Not very strong Democrat","Moderate","Roman Catholic","Donald J. Trump (Republican)","Yes","Democrat","Oppose","Support","Oppose","Support","Support","Support","Favor","Some of the time"
"3343","California","Female",40,"4-year","White","Independent","Moderate","Mormon","Donald J. Trump (Republican)","No","Democrat","Support","Oppose","Oppose","Support","Support","Support","Favor","Only now and then"
"3344","California","Male",76,"High school graduate","White","Strong Republican","Conservative","Roman Catholic","Donald J. Trump (Republican)","No","Democrat","Support","Oppose","Oppose","Support","Support","Support","Oppose","Most of the time"
"3345","Michigan","Female",38,"Some college","White","Strong Democrat","Liberal","Atheist","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3346","Florida","Male",88,"High school graduate","White","Strong Republican","Conservative","Jewish","Donald J. Trump (Republican)","No","Republican","Oppose","Oppose","Support","Support","Oppose","Support","Oppose","Most of the time"
"3347","District of Columbia","Female",66,"Some college","Black","Not very strong Democrat","Liberal","Nothing in particular","Joe Biden (Democrat)","No",NA,"Oppose","Support","Support","Oppose","Support","Support","Favor","Some of the time"
"3348","Nevada","Male",82,"High school graduate","White","Strong Democrat","Moderate","Nothing in particular","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3349","Indiana","Female",57,"Some college","Black","Not very strong Democrat","Moderate","Protestant","Joe Biden (Democrat)","No","Republican","Support","Support","Support","Oppose","Oppose","Oppose","Oppose","Some of the time"
"3350","Arkansas","Male",33,"4-year","White","Independent","Moderate","Agnostic","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Some of the time"
"3351","Florida","Female",57,"High school graduate","White","Lean Republican","Moderate","Protestant",NA,"No","Not sure","Support","Oppose","Support","Support","Support",NA,"Favor","Only now and then"
"3352","Connecticut","Male",66,"High school graduate","White","Independent","Not sure","Nothing in particular",NA,"No","Democrat","Support","Support","Support","Oppose","Support","Oppose","Favor","Some of the time"
"3353","New York","Male",35,"4-year","White","Strong Democrat","Very liberal","Roman Catholic",NA,"No","Democrat","Oppose","Support","Support","Support","Support","Oppose","Favor","Most of the time"
"3354","Illinois","Female",38,"Post-grad","White","Strong Democrat","Liberal","Protestant","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Oppose","Most of the time"
"3355","Indiana","Female",64,"High school graduate","White","Independent","Conservative","Protestant","Donald J. Trump (Republican)","No","Republican","Oppose","Oppose","Oppose","Support","Support","Oppose","Oppose","Some of the time"
"3356","Tennessee","Female",32,"4-year","White","Not very strong Democrat","Moderate","Nothing in particular","Joe Biden (Democrat)","No","Not sure","Oppose","Oppose","Oppose","Oppose","Oppose","Oppose","Oppose","Most of the time"
"3357","Arkansas","Female",78,"High school graduate","White","Independent","Not sure","Protestant","Joe Biden (Democrat)","No","Republican","Oppose","Support","Oppose","Oppose","Support","Oppose","Oppose","Some of the time"
"3358","Massachusetts","Female",41,"Post-grad","White","Independent","Moderate","Protestant","Donald J. Trump (Republican)","No","Democrat","Oppose","Support","Support","Oppose","Oppose","Oppose","Favor","Some of the time"
"3359","North Carolina","Female",46,"High school graduate","White","Lean Republican","Very conservative","Nothing in particular","Donald J. Trump (Republican)","No","Democrat","Oppose","Oppose","Support","Support","Oppose","Oppose","Oppose","Only now and then"
"3360","Delaware","Female",80,"High school graduate","White","Strong Democrat","Very liberal","Agnostic","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3361","Illinois","Male",55,"4-year","Hispanic","Independent","Conservative","Eastern or Greek Orthodox","Donald J. Trump (Republican)",NA,"Democrat","Support","Oppose","Oppose","Support","Oppose","Oppose","Oppose","Some of the time"
"3362","West Virginia","Male",29,"High school graduate","White","Not very strong Republican","Moderate","Agnostic","Donald J. Trump (Republican)",NA,"Democrat","Support","Oppose","Oppose","Support","Support","Support","Oppose","Some of the time"
"3363","Illinois","Female",36,"Post-grad","White","Strong Republican","Very conservative","Protestant","Donald J. Trump (Republican)","No","Democrat","Support","Oppose","Oppose","Support","Support","Support","Favor","Some of the time"
"3364","Nevada","Female",35,"Some college","White","Lean Democrat","Conservative","Nothing in particular","Other","No","Not sure","Support","Support","Oppose","Support","Support","Support","Favor","Only now and then"
"3365","Florida","Female",60,"High school graduate","White","Not very strong Democrat","Moderate","Nothing in particular","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"3366","New York","Female",73,"High school graduate","White","Strong Republican","Conservative","Jewish","Donald J. Trump (Republican)","No","Democrat","Oppose","Support","Support","Support","Oppose","Support","Favor","Most of the time"
"3367","West Virginia","Male",31,"4-year","White","Lean Democrat","Liberal","Protestant","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Oppose","Some of the time"
"3368","Ohio","Female",36,"4-year","White","Not very strong Republican","Conservative","Nothing in particular",NA,"No","Republican","Support","Oppose","Support","Oppose","Support","Support","Favor","Only now and then"
"3369","Nebraska","Male",44,"Post-grad","White","Not very strong Democrat","Liberal","Protestant","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
