"","state","sex","age","educ","race","pid7","ideo5","religion","votechoice","hispanic","know_governor","conceal","prochoice","cleanair","wall","mandmin","aca","minwage","newsint"
"46290","West Virginia","Female",22,"No HS","White","Lean Democrat","Moderate","Nothing in particular",NA,"No","Never Heard of Person","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Some of the time"
"46291","New York","Male",33,"4-year","White","Strong Republican","Very conservative","Muslim",NA,"No","Never Heard of Person","Support","Support","Oppose","Oppose","Support","Oppose","Oppose","Most of the time"
"46292","Missouri","Female",80,"High school graduate","White","Independent","Moderate","Roman Catholic","Joe Biden (Democrat)","No","Not sure","Oppose","Oppose","Oppose","Oppose","Oppose","Oppose","Oppose","Hardly at all"
"46293","Missouri","Male",25,"4-year","White","Independent","Moderate","Protestant",NA,"No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Oppose","Most of the time"
"46294","Virginia","Female",38,"High school graduate","Black","Strong Democrat","Very conservative","Nothing in particular",NA,"No","Not sure","Support","Support","Support","Oppose","Oppose","Support","Favor","Don't know"
"46295","Alabama","Male",46,"4-year","Black","Independent","Moderate","Nothing in particular","Joe Biden (Democrat)","No","Republican","Support","Support","Oppose","Oppose","Support","Oppose","Favor","Some of the time"
"46296","New York","Male",46,"2-year","Hispanic","Not very strong Democrat","Moderate","Protestant","Joe Biden (Democrat)",NA,"Democrat","Oppose","Oppose","Support","Oppose","Support","Oppose","Favor","Most of the time"
"46297","Arizona","Male",36,"4-year","Black","Lean Democrat","Liberal","Nothing in particular",NA,"No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"46298","Florida","Male",30,"Post-grad","Hispanic","Independent","Moderate","Mormon",NA,NA,"Republican","Oppose","Oppose","Support","Oppose","Support","Support","Oppose","Some of the time"
"46299","Georgia","Male",21,"Some college","Black","Strong Democrat","Very liberal","Agnostic","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Only now and then"
"46300","Maryland","Male",39,"High school graduate","Black","Lean Democrat","Liberal","Nothing in particular","Joe Biden (Democrat)","No","Republican","Support","Support","Support","Support","Oppose","Oppose","Favor","Most of the time"
"46301","Illinois","Male",22,"2-year","White","Strong Republican","Very liberal","Roman Catholic",NA,"No","Democrat","Support","Support","Support","Support","Support","Support","Favor","Most of the time"
"46302","Arizona","Female",77,"High school graduate","White","Strong Republican","Conservative","Nothing in particular","Donald J. Trump (Republican)","No","Republican","Oppose","Oppose","Oppose","Support","Support","Support","Oppose","Most of the time"
"46303","Texas","Female",29,"High school graduate","White","Strong Republican","Very conservative","Protestant",NA,"No","Not sure","Oppose","Support","Oppose","Support","Support","Support","Favor","Most of the time"
"46304","Maryland","Female",45,"High school graduate","Black","Strong Democrat","Moderate","Nothing in particular","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Some of the time"
"46305","Florida","Female",20,"2-year","Hispanic","Not sure","Not sure","Roman Catholic",NA,NA,"Not sure","Oppose","Oppose","Support","Oppose","Oppose","Oppose","Favor","Don't know"
"46306","North Carolina","Male",40,"2-year","Black","Lean Democrat","Moderate","Nothing in particular",NA,"No","Democrat","Support","Oppose","Oppose","Oppose","Support","Oppose","Favor","Some of the time"
"46307","Michigan","Female",59,"High school graduate","White","Strong Democrat","Liberal","Nothing in particular","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"46308","Missouri","Male",49,"Some college","Black","Strong Democrat","Moderate","Nothing in particular","Joe Biden (Democrat)","No","Republican","Support","Support","Support","Oppose","Support","Oppose","Favor","Only now and then"
